Main Category,Sub Category
Stationery , Hair Care ," Shampoos & Conditioner, Oils & Serum, Hair Gels & Creams, Hair Colors, Brushes / Combs"
Stationery , Face Care ," Face Pack, Lip Care, Face Wash & Scrubs, Face Creams"
Stationery , Shaving Needs ," Razors & Blades, Shaving Cream & Foam, After Shave"
Stationery , Oral Care ," Toothbrush, Toothpaste"
Stationery , Personal Hygiene , Handwash & Sanitizers
Stationery , OTC Medicines ," Antiseptics, Digestive, Cotton & Bandages"
Stationery , Detergents ," Detergent Bar, Detergent Powder, Liquid Detergent"
Stationery , Diwali Decoration ," Dishwash Bars, Liquid Dishwashers, Powdered Dishwashers"
Stationery , Utensil Cleaners ," Floor Cleaners, Toilet Cleaners, Surface Cleaners"
Stationery , Cleaners , Agarbathi & Dhoop Batti
Stationery , Pooja Needs ," Brooms  Dust Pans & Dustbin, Mops & Wipers, Brushes & Scrubbers"
Stationery , Cleaning Equipments , Shoe Polish
Stationery , Shoe Care , Mosquito Repellents
